"","1st_network","Region","cluster","Hub_consensus","freq"
"167","Language","Frontal_Inf_Tri_L_1","56","Isolate",1e-05
"168","Language","Frontal_Inf_Tri_L_1","56","Peripheral",0.0769215384615385
"169","Language","Frontal_Inf_Tri_L_1","56","Provincial",1e-05
"170","Language","Frontal_Inf_Tri_L_1","56","Satellite",0.0769215384615385
"171","FPN","Frontal_Inf_Tri_L_2","23","Connector",0.133330666666667
"172","FPN","Frontal_Inf_Tri_L_2","23","Isolate",1e-05
"173","FPN","Frontal_Inf_Tri_L_2","23","Peripheral",1e-05
"174","FPN","Frontal_Inf_Tri_L_2","23","Provincial",0.333326666666667
"175","FPN","Frontal_Inf_Tri_L_2","23","Satellite",0.533322666666667
"176","FPN","Frontal_Inf_Tri_L_2","56","Connector",0.583321666666667
"177","FPN","Frontal_Inf_Tri_L_2","56","Isolate",1e-05
"178","FPN","Frontal_Inf_Tri_L_2","56","Peripheral",1e-05
"179","FPN","Frontal_Inf_Tri_L_2","56","Provincial",0.0833316666666667
"180","FPN","Frontal_Inf_Tri_L_2","56","Satellite",0.333326666666667
"181","Language","Frontal_Inf_Tri_L_3","23","Connector",0.473674736842105
"182","Language","Frontal_Inf_Tri_L_3","23","Isolate",1e-05
"183","Language","Frontal_Inf_Tri_L_3","23","Peripheral",1e-05
"184","Language","Frontal_Inf_Tri_L_3","23","Provincial",0.315783157894737
"185","Language","Frontal_Inf_Tri_L_3","23","Satellite",0.210522105263158
"186","Language","Frontal_Inf_Tri_L_3","56","Connector",0.571422857142857
"187","Language","Frontal_Inf_Tri_L_3","56","Isolate",1e-05
"188","Language","Frontal_Inf_Tri_L_3","56","Peripheral",0.0714278571428571
"189","Language","Frontal_Inf_Tri_L_3","56","Provincial",0.0714278571428571
"190","Language","Frontal_Inf_Tri_L_3","56","Satellite",0.285711428571429
"191","FPN","Frontal_Inf_Tri_R_2","23","Connector",0.199998
"192","FPN","Frontal_Inf_Tri_R_2","23","Isolate",1e-05
"193","FPN","Frontal_Inf_Tri_R_2","23","Peripheral",0.066666
"194","FPN","Frontal_Inf_Tri_R_2","23","Provincial",0.199998
"195","FPN","Frontal_Inf_Tri_R_2","23","Satellite",0.533328
"196","FPN","Frontal_Inf_Tri_R_2","56","Connector",0.272721818181818
"197","FPN","Frontal_Inf_Tri_R_2","56","Isolate",1e-05
"198","FPN","Frontal_Inf_Tri_R_2","56","Peripheral",0.272721818181818
"199","FPN","Frontal_Inf_Tri_R_2","56","Provincial",1e-05
"200","FPN","Frontal_Inf_Tri_R_2","56","Satellite",0.454536363636364
"201","DMN","Frontal_Mid_L_1","23","Connector",0.312490625
"202","DMN","Frontal_Mid_L_1","23","Isolate",1e-05
"203","DMN","Frontal_Mid_L_1","23","Peripheral",1e-05
"204","DMN","Frontal_Mid_L_1","23","Provincial",0.687479375
"205","DMN","Frontal_Mid_L_1","23","Satellite",1e-05
"206","DMN","Frontal_Mid_L_1","56","Connector",0.636344545454546
"207","DMN","Frontal_Mid_L_1","56","Isolate",1e-05
"208","DMN","Frontal_Mid_L_1","56","Peripheral",1e-05
"209","DMN","Frontal_Mid_L_1","56","Provincial",0.363625454545455
"210","DMN","Frontal_Mid_L_1","56","Satellite",1e-05
"211","CON","Frontal_Mid_L_2","23","Connector",0.736827368421053
"212","CON","Frontal_Mid_L_2","23","Isolate",0.105261052631579
"213","CON","Frontal_Mid_L_2","23","Peripheral",1e-05
"214","CON","Frontal_Mid_L_2","23","Provincial",1e-05
"215","CON","Frontal_Mid_L_2","23","Satellite",0.157891578947368
"216","CON","Frontal_Mid_L_2","56","Connector",0.599988
"217","CON","Frontal_Mid_L_2","56","Isolate",0.099998
"218","CON","Frontal_Mid_L_2","56","Peripheral",1e-05
"219","CON","Frontal_Mid_L_2","56","Provincial",1e-05
"220","CON","Frontal_Mid_L_2","56","Satellite",0.299994
"221","FPN","Frontal_Mid_L_3","23","Connector",0.277775
"222","FPN","Frontal_Mid_L_3","23","Isolate",1e-05
"223","FPN","Frontal_Mid_L_3","23","Peripheral",0.055555
"224","FPN","Frontal_Mid_L_3","23","Provincial",0.33333
"225","FPN","Frontal_Mid_L_3","23","Satellite",0.33333
"226","FPN","Frontal_Mid_L_3","56","Connector",0.599994
"227","FPN","Frontal_Mid_L_3","56","Isolate",1e-05
"228","FPN","Frontal_Mid_L_3","56","Peripheral",0.099999
"229","FPN","Frontal_Mid_L_3","56","Provincial",0.099999
"230","FPN","Frontal_Mid_L_3","56","Satellite",0.199998
"231","DMN","Frontal_Mid_L_4","23","Connector",0.642850714285714
"232","DMN","Frontal_Mid_L_4","23","Isolate",0.0714278571428571
"233","DMN","Frontal_Mid_L_4","23","Peripheral",0.142855714285714
"234","DMN","Frontal_Mid_L_4","23","Provincial",1e-05
"235","DMN","Frontal_Mid_L_4","23","Satellite",0.142855714285714
"236","DMN","Frontal_Mid_L_4","56","Connector",0.749985
"237","DMN","Frontal_Mid_L_4","56","Isolate",0.1249975
"238","DMN","Frontal_Mid_L_4","56","Peripheral",0.1249975
"239","DMN","Frontal_Mid_L_4","56","Provincial",1e-05
"240","DMN","Frontal_Mid_L_4","56","Satellite",1e-05
"241","CON","Frontal_Mid_L_5","23","Connector",0.461529230769231
"242","CON","Frontal_Mid_L_5","23","Isolate",1e-05
"243","CON","Frontal_Mid_L_5","23","Peripheral",0.0769215384615385
"244","CON","Frontal_Mid_L_5","23","Provincial",1e-05
"245","CON","Frontal_Mid_L_5","23","Satellite",0.461529230769231
"246","CON","Frontal_Mid_L_5","56","Connector",0.6249875
"247","CON","Frontal_Mid_L_5","56","Isolate",1e-05
"248","CON","Frontal_Mid_L_5","56","Peripheral",0.1249975
"249","CON","Frontal_Mid_L_5","56","Provincial",1e-05
"250","CON","Frontal_Mid_L_5","56","Satellite",0.249995
