"","1st_network","Region","cluster","Bridgeness","freq"
"131","Language","Frontal_Inf_Tri_L_1","23","Not_a_Bridge",0.263157894736842
"132","Language","Frontal_Inf_Tri_L_1","23","Super_Bridge",0.578947368421053
"133","Language","Frontal_Inf_Tri_L_1","56","Global_Bridge",0.153844615384615
"134","Language","Frontal_Inf_Tri_L_1","56","Local_Bridge",1e-05
"135","Language","Frontal_Inf_Tri_L_1","56","Not_a_Bridge",0.461533846153846
"136","Language","Frontal_Inf_Tri_L_1","56","Super_Bridge",0.384611538461539
"137","FPN","Frontal_Inf_Tri_L_2","23","Global_Bridge",0.133333333333333
"138","FPN","Frontal_Inf_Tri_L_2","23","Local_Bridge",0.333333333333333
"139","FPN","Frontal_Inf_Tri_L_2","23","Not_a_Bridge",0.266666666666667
"140","FPN","Frontal_Inf_Tri_L_2","23","Super_Bridge",0.266666666666667
"141","FPN","Frontal_Inf_Tri_L_2","56","Global_Bridge",0.0833325
"142","FPN","Frontal_Inf_Tri_L_2","56","Local_Bridge",1e-05
"143","FPN","Frontal_Inf_Tri_L_2","56","Not_a_Bridge",0.33333
"144","FPN","Frontal_Inf_Tri_L_2","56","Super_Bridge",0.5833275
"145","Language","Frontal_Inf_Tri_L_3","23","Global_Bridge",0.210526315789474
"146","Language","Frontal_Inf_Tri_L_3","23","Local_Bridge",0.157894736842105
"147","Language","Frontal_Inf_Tri_L_3","23","Not_a_Bridge",0.157894736842105
"148","Language","Frontal_Inf_Tri_L_3","23","Super_Bridge",0.473684210526316
"149","Language","Frontal_Inf_Tri_L_3","56","Global_Bridge",0.142857142857143
"150","Language","Frontal_Inf_Tri_L_3","56","Local_Bridge",0.142857142857143
"151","Language","Frontal_Inf_Tri_L_3","56","Not_a_Bridge",0.214285714285714
"152","Language","Frontal_Inf_Tri_L_3","56","Super_Bridge",0.5
"153","FPN","Frontal_Inf_Tri_R_2","23","Global_Bridge",0.266666666666667
"154","FPN","Frontal_Inf_Tri_R_2","23","Local_Bridge",0.4
"155","FPN","Frontal_Inf_Tri_R_2","23","Not_a_Bridge",0.0666666666666667
"156","FPN","Frontal_Inf_Tri_R_2","23","Super_Bridge",0.266666666666667
"157","FPN","Frontal_Inf_Tri_R_2","56","Global_Bridge",1e-05
"158","FPN","Frontal_Inf_Tri_R_2","56","Local_Bridge",0.363632727272727
"159","FPN","Frontal_Inf_Tri_R_2","56","Not_a_Bridge",0.0909081818181818
"160","FPN","Frontal_Inf_Tri_R_2","56","Super_Bridge",0.545449090909091
"161","DMN","Frontal_Mid_L_1","23","Global_Bridge",0.12499875
"162","DMN","Frontal_Mid_L_1","23","Local_Bridge",1e-05
"163","DMN","Frontal_Mid_L_1","23","Not_a_Bridge",0.37499625
"164","DMN","Frontal_Mid_L_1","23","Super_Bridge",0.499995
"165","DMN","Frontal_Mid_L_1","56","Global_Bridge",0.0909081818181818
"166","DMN","Frontal_Mid_L_1","56","Local_Bridge",0.0909081818181818
"167","DMN","Frontal_Mid_L_1","56","Not_a_Bridge",1e-05
"168","DMN","Frontal_Mid_L_1","56","Super_Bridge",0.818173636363636
"169","CON","Frontal_Mid_L_2","23","Global_Bridge",0.157894736842105
"170","CON","Frontal_Mid_L_2","23","Local_Bridge",0.157894736842105
"171","CON","Frontal_Mid_L_2","23","Not_a_Bridge",0.263157894736842
"172","CON","Frontal_Mid_L_2","23","Super_Bridge",0.421052631578947
"173","CON","Frontal_Mid_L_2","56","Global_Bridge",0.1
"174","CON","Frontal_Mid_L_2","56","Local_Bridge",0.1
"175","CON","Frontal_Mid_L_2","56","Not_a_Bridge",0.1
"176","CON","Frontal_Mid_L_2","56","Super_Bridge",0.7
"177","FPN","Frontal_Mid_L_3","23","Global_Bridge",0.277777777777778
"178","FPN","Frontal_Mid_L_3","23","Local_Bridge",0.0555555555555556
"179","FPN","Frontal_Mid_L_3","23","Not_a_Bridge",0.333333333333333
"180","FPN","Frontal_Mid_L_3","23","Super_Bridge",0.333333333333333
"181","FPN","Frontal_Mid_L_3","56","Global_Bridge",0.1
"182","FPN","Frontal_Mid_L_3","56","Local_Bridge",0.2
"183","FPN","Frontal_Mid_L_3","56","Not_a_Bridge",0.5
"184","FPN","Frontal_Mid_L_3","56","Super_Bridge",0.2
"185","DMN","Frontal_Mid_L_4","23","Global_Bridge",0.214283571428571
"186","DMN","Frontal_Mid_L_4","23","Local_Bridge",1e-05
"187","DMN","Frontal_Mid_L_4","23","Not_a_Bridge",0.214283571428571
"188","DMN","Frontal_Mid_L_4","23","Super_Bridge",0.571422857142857
"189","DMN","Frontal_Mid_L_4","56","Global_Bridge",0.25
"190","DMN","Frontal_Mid_L_4","56","Local_Bridge",0.375
"191","DMN","Frontal_Mid_L_4","56","Not_a_Bridge",0.25
"192","DMN","Frontal_Mid_L_4","56","Super_Bridge",0.125
"193","CON","Frontal_Mid_L_5","23","Global_Bridge",0.153846153846154
"194","CON","Frontal_Mid_L_5","23","Local_Bridge",0.153846153846154
"195","CON","Frontal_Mid_L_5","23","Not_a_Bridge",0.384615384615385
"196","CON","Frontal_Mid_L_5","23","Super_Bridge",0.307692307692308
"197","CON","Frontal_Mid_L_5","56","Global_Bridge",0.125
"198","CON","Frontal_Mid_L_5","56","Local_Bridge",0.125
"199","CON","Frontal_Mid_L_5","56","Not_a_Bridge",0.5
"200","CON","Frontal_Mid_L_5","56","Super_Bridge",0.25
"201","FPN","Frontal_Mid_Orb_L_1","23","Global_Bridge",0.0714285714285714
"202","FPN","Frontal_Mid_Orb_L_1","23","Local_Bridge",0.285714285714286
"203","FPN","Frontal_Mid_Orb_L_1","23","Not_a_Bridge",0.5
"204","FPN","Frontal_Mid_Orb_L_1","23","Super_Bridge",0.142857142857143
"205","FPN","Frontal_Mid_Orb_L_1","56","Global_Bridge",1e-05
"206","FPN","Frontal_Mid_Orb_L_1","56","Local_Bridge",0.307689230769231
"207","FPN","Frontal_Mid_Orb_L_1","56","Not_a_Bridge",0.538456153846154
"208","FPN","Frontal_Mid_Orb_L_1","56","Super_Bridge",0.153844615384615
"209","FPN","Frontal_Mid_Orb_L_2","23","Global_Bridge",0.0625
"210","FPN","Frontal_Mid_Orb_L_2","23","Local_Bridge",0.1875
"211","FPN","Frontal_Mid_Orb_L_2","23","Not_a_Bridge",0.375
"212","FPN","Frontal_Mid_Orb_L_2","23","Super_Bridge",0.375
"213","FPN","Frontal_Mid_Orb_L_2","56","Global_Bridge",1e-05
"214","FPN","Frontal_Mid_Orb_L_2","56","Local_Bridge",0.12499875
"215","FPN","Frontal_Mid_Orb_L_2","56","Not_a_Bridge",0.499995
"216","FPN","Frontal_Mid_Orb_L_2","56","Super_Bridge",0.37499625
"217","CON","Frontal_Sup_L_1","23","Global_Bridge",0.421052631578947
"218","CON","Frontal_Sup_L_1","23","Local_Bridge",0.105263157894737
"219","CON","Frontal_Sup_L_1","23","Not_a_Bridge",0.263157894736842
"220","CON","Frontal_Sup_L_1","23","Super_Bridge",0.210526315789474
"221","CON","Frontal_Sup_L_1","56","Global_Bridge",0.444444444444444
"222","CON","Frontal_Sup_L_1","56","Local_Bridge",0.222222222222222
"223","CON","Frontal_Sup_L_1","56","Not_a_Bridge",0.111111111111111
"224","CON","Frontal_Sup_L_1","56","Super_Bridge",0.222222222222222
"225","DMN","Frontal_Sup_L_2","23","Global_Bridge",0.238095238095238
"226","DMN","Frontal_Sup_L_2","23","Local_Bridge",0.0476190476190476
"227","DMN","Frontal_Sup_L_2","23","Not_a_Bridge",0.333333333333333
"228","DMN","Frontal_Sup_L_2","23","Super_Bridge",0.380952380952381
"229","DMN","Frontal_Sup_L_2","56","Global_Bridge",1e-05
"230","DMN","Frontal_Sup_L_2","56","Local_Bridge",0.181816363636364
"231","DMN","Frontal_Sup_L_2","56","Not_a_Bridge",0.454540909090909
"232","DMN","Frontal_Sup_L_2","56","Super_Bridge",0.363632727272727
"233","DMN","Frontal_Sup_L_4","23","Global_Bridge",0.260869565217391
"234","DMN","Frontal_Sup_L_4","23","Local_Bridge",0.0869565217391304
"235","DMN","Frontal_Sup_L_4","23","Not_a_Bridge",0.391304347826087
"236","DMN","Frontal_Sup_L_4","23","Super_Bridge",0.260869565217391
"237","DMN","Frontal_Sup_L_4","56","Global_Bridge",0.142857142857143
"238","DMN","Frontal_Sup_L_4","56","Local_Bridge",0.0714285714285714
"239","DMN","Frontal_Sup_L_4","56","Not_a_Bridge",0.214285714285714
"240","DMN","Frontal_Sup_L_4","56","Super_Bridge",0.571428571428571
"241","CON","Frontal_Sup_L_6","23","Global_Bridge",0.25
"242","CON","Frontal_Sup_L_6","23","Local_Bridge",0.0833333333333333
"243","CON","Frontal_Sup_L_6","23","Not_a_Bridge",0.166666666666667
"244","CON","Frontal_Sup_L_6","23","Super_Bridge",0.5
"245","CON","Frontal_Sup_L_6","56","Global_Bridge",0.3
"246","CON","Frontal_Sup_L_6","56","Local_Bridge",0.1
"247","CON","Frontal_Sup_L_6","56","Not_a_Bridge",0.2
"248","CON","Frontal_Sup_L_6","56","Super_Bridge",0.4
"249","FPN","Frontal_Sup_Medial_L_4","23","Global_Bridge",0.263155263157895
"250","FPN","Frontal_Sup_Medial_L_4","23","Local_Bridge",1e-05
"251","FPN","Frontal_Sup_Medial_L_4","23","Not_a_Bridge",0.0526310526315789
"252","FPN","Frontal_Sup_Medial_L_4","23","Super_Bridge",0.684203684210526
"253","FPN","Frontal_Sup_Medial_L_4","56","Global_Bridge",0.214285714285714
"254","FPN","Frontal_Sup_Medial_L_4","56","Local_Bridge",0.0714285714285714
"255","FPN","Frontal_Sup_Medial_L_4","56","Not_a_Bridge",0.0714285714285714
"256","FPN","Frontal_Sup_Medial_L_4","56","Super_Bridge",0.642857142857143
"257","DMN","Frontal_Sup_Medial_R_4","23","Global_Bridge",0.142857142857143
"258","DMN","Frontal_Sup_Medial_R_4","23","Local_Bridge",0.142857142857143
"259","DMN","Frontal_Sup_Medial_R_4","23","Not_a_Bridge",0.142857142857143
"260","DMN","Frontal_Sup_Medial_R_4","23","Super_Bridge",0.571428571428571
"261","DMN","Frontal_Sup_Medial_R_4","56","Global_Bridge",0.0909090909090909
"262","DMN","Frontal_Sup_Medial_R_4","56","Local_Bridge",0.181818181818182
"263","DMN","Frontal_Sup_Medial_R_4","56","Not_a_Bridge",0.272727272727273
"264","DMN","Frontal_Sup_Medial_R_4","56","Super_Bridge",0.454545454545455
"265","SMN","Frontal_Sup_R_1","23","Global_Bridge",1e-05
"266","SMN","Frontal_Sup_R_1","23","Local_Bridge",0.2499975
